MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000269,0.4,0.8029946788763767,10.623610073010765,4,10,3
E02000270,0,0.4148653773227152,35.99719163190494,1,5,9
E02000271,0.75,0.7042757403713364,9.82919416909621,5,9,2
E02000272,0.75,0.7702578268876611,10.154082105586248,5,9,2
E02000274,0,0.6946064139941691,28.3128246462348,1,9,8
E02000275,0,0.4400185577942735,28.177827545068926,1,5,8
E02000276,0,0.529294663052022,13.741856141420298,1,7,4
E02000277,0,0.4702224289640577,26.284897449736878,1,6,7
E02000278,0,0.3502121656509108,38.42983080834834,1,4,9
E02000279,0,0.48417467374157463,32.448723032537266,1,6,9
E02000280,0.2,0.24261959916630502,21.468448379979097,3,2,6
E02000281,0,0.19748273557585208,27.972087435954556,1,1,8
E02000282,0,0.5659854247624918,40.06445952729555,1,7,9
E02000283,0,0.522363373853674,31.001213530163895,1,7,8
E02000284,0,0.270143163834118,17.070983778065123,1,3,5
E02000285,0,0.8076363534235802,11.391912029272756,1,10,3
E02000286,0,0.7288523366100795,16.912818267088756,1,9,5
E02000287,0.5,0.5042274052478134,13.160404373177842,4,6,4
E02000288,0,0.6563972948805027,33.579485377402285,1,8,9
E02000289,0.5,0.6918116687808653,10.25233727451872,4,9,2
E02000290,0,0.4302833495113258,38.839320709559345,1,5,9
E02000291,0,0.211874381374532,22.769043029435814,1,2,7
E02000292,0,0.13956557044254975,21.630351197726352,1,1,6
E02000293,0.25,0.5817350238941897,10.699650412717823,3,8,3
E02000294,0,0.642881891626948,29.838090023549565,1,8,8
E02000295,0,0.45424146530833115,14.264162270898524,1,6,4
E02000296,0,0.5853402935454608,18.736596991132807,1,8,6
E02000297,0,0.8005316430924451,11.153847965296427,1,10,3
E02000298,0.4,0.7180900970374654,8.6342442002442,4,9,2
E02000299,0,0.6011454507321742,34.10902891590886,1,8,9
E02000300,0,0.19812068379938866,31.690634891882716,1,1,8
E02000301,0,0.2258522576697167,39.40452036986176,1,2,9
E02000302,0,0.5635249378734363,19.461557333943066,1,7,6
E02000303,0,0.21836936244924832,39.495709096894544,1,2,9
E02000304,0.6,0.8183172002978406,9.395457433606355,5,10,2
E02000305,0,0.6777983853371154,15.372604843988654,1,9,5
E02000306,0,0.6216418397658401,43.56118441182551,1,8,10
E02000307,0,0.7376078172758866,25.027692124105013,1,9,7
E02000308,0,0.43884892086330934,21.17568637970979,1,5,6
E02000309,0,0.19880581726951124,38.22551165980796,1,1,9
E02000311,0,0.33899557415146564,26.65358460673104,1,4,8
E02000312,0,0.22549814003167468,19.41314520643807,1,2,6
E02000313,0,0.26150912557886136,29.034084854263146,1,3,8
E02000314,0,0.6529453290454152,23.077887871691154,1,8,7
E02000315,0,0.23961694597689184,36.290120328926825,1,2,9
E02000316,0,0.3127971747692333,23.836059833708916,1,3,7
E02000317,0,0.19032815198618308,32.47226067933219,1,1,9
E02000318,0,0.3783298285104997,26.536444850872257,1,4,8
E02000319,0,0.19251065680730753,24.171681404958676,1,1,7
E02000320,0,0.6795151258331419,22.930003411572052,1,9,7
E02000321,0,0.42880664590952966,32.89893154223714,1,5,9
E02000323,0,0.14919281697805187,32.19790005441683,1,1,9
E02000324,0,0.3609623467366279,29.340322482197355,1,4,8
E02000326,0,0.4064487511942132,20.648771529957692,1,5,6
E02000327,0,0.36895229434276833,30.41027660187185,1,4,8
E02000328,0,0.5430728241563055,16.883602723505035,1,7,5
E02000329,0,0.43955158325667737,19.490797039836245,1,5,6
E02000331,0,0.208487792407005,29.183950786143427,1,1,8
